date,regime,y_30,y_60,fwd_30d_max_dd,fwd_60d_max_dd,macro_equities_score,cme_score,crypto_derivatives_score,classic_cycle_score,etf_flows_score,eth_score,ensemble_score,percentile,position,btc_return,strategy_return
2014-09-17,neutral,1,1,-0.299177,-0.299177,,,,,,,,,,,
2014-09-18,neutral,1,1,-0.244864,-0.244864,,,,,,,,,,-0.071926,
2014-09-19,neutral,0,0,-0.188163,-0.188163,,,,,,,,,,-0.069843,
2014-09-20,neutral,1,1,-0.216173,-0.216173,,,,,,,,,,0.035735,
2014-09-21,neutral,0,0,-0.196356,-0.196356,,,,,,,,,,-0.024659,
2014-09-22,neutral,1,1,-0.203013,-0.203013,,,,,,,,,,0.008352,
2014-09-23,neutral,1,1,-0.264533,-0.264533,,,,,,,,,,0.083647,
2014-09-24,neutral,1,1,-0.242660,-0.242660,,,,,,,,,,-0.028881,
2014-09-25,neutral,1,1,-0.221258,-0.221258,,,,,,,,,,-0.027483,
2014-09-26,neutral,1,1,-0.207492,-0.207492,,,,,,,,,,-0.017370,
2014-09-27,neutral,0,0,-0.197762,-0.197762,,,,,,,,,,-0.012128,
2014-09-28,neutral,0,0,-0.150249,-0.150249,,,,,,,,,,-0.055915,
2014-09-29,neutral,0,0,-0.146370,-0.146370,,,,,,,,,,-0.004544,
2014-09-30,neutral,0,0,-0.171689,-0.171689,,,,,,,,,,0.030567,
2014-10-01,neutral,0,0,-0.164501,-0.164501,,,,,,,,,,-0.008603,
2014-10-02,neutral,0,0,-0.145471,-0.145471,,,,,,,,,,-0.022270,
2014-10-03,neutral,0,0,-0.108486,-0.108486,,,,,,,,,,-0.041485,
2014-10-04,neutral,0,0,-0.025408,-0.025408,,,,,,,,,,-0.085243,
2014-10-05,neutral,0,0,0.016346,0.016346,,,,,,,,,,-0.025408,
2014-10-06,neutral,0,0,-0.013118,-0.013118,,,,,,,,,,0.029856,
2014-10-07,neutral,0,0,-0.031048,-0.031048,,,,,,,,,,0.018505,
2014-10-08,neutral,0,0,-0.077041,-0.077041,,,,,,,,,,0.049832,
2014-10-09,neutral,0,0,-0.107601,-0.107601,,,,,,,,,,0.034244,
2014-10-10,neutral,0,0,-0.099051,-0.099051,,,,,,,,,,-0.009490,
2014-10-11,neutral,0,0,-0.100884,-0.100884,,,,,,,,,,0.002038,
2014-10-12,neutral,0,0,-0.139480,-0.139480,,,,,,,,,,0.044852,
2014-10-13,neutral,0,0,-0.165632,-0.165632,,,,,,,,,,0.031343,
2014-10-14,neutral,0,0,-0.187395,-0.187395,,,,,,,,,,0.026782,
2014-10-15,neutral,0,0,-0.174845,-0.174845,,,,,,,,,,-0.015209,
2014-10-16,neutral,0,0,-0.148493,-0.148493,,,,,,,,,,-0.030947,
2014-10-17,neutral,0,0,-0.151160,-0.151160,,,,,,,,,,0.003142,
2014-10-18,neutral,0,0,-0.167823,-0.183082,,,,,,,,,,0.020023,
2014-10-19,neutral,0,1,-0.163773,-0.200618,,,,,,,,,,-0.004844,
2014-10-20,neutral,0,0,-0.149136,-0.186626,,,,,,,,,,-0.017202,
2014-10-21,neutral,0,0,-0.157128,-0.194266,,,,,,,,,,0.009482,
2014-10-22,neutral,0,0,-0.149831,-0.187291,,,,,,,,,,-0.008583,
2014-10-23,neutral,0,0,-0.091145,-0.131191,,,,,,,,,,-0.064571,
2014-10-24,neutral,0,0,-0.090963,-0.131016,,,,,,,,,,-0.000201,
2014-10-25,neutral,0,0,-0.061975,-0.103305,,,,,,,,,,-0.030903,
2014-10-26,neutral,0,0,-0.081631,-0.122096,,,,,,,,,,0.021404,
2014-10-27,neutral,0,0,-0.077170,-0.117831,,,,,,,,,,-0.004835,
2014-10-28,neutral,0,0,-0.089115,-0.129250,,,,,,,,,,0.013114,
2014-10-29,neutral,0,0,-0.029327,-0.072097,,,,,,,,,,-0.061594,
2014-10-30,neutral,0,0,-0.056634,-0.098200,,,,,,,,,,0.028946,
2014-10-31,neutral,0,0,-0.037160,-0.081532,,,,,,,,,,-0.020226,
2014-11-01,neutral,0,0,0.000439,-0.046085,,,,,,,,,,-0.037160,
2014-11-02,neutral,0,0,0.005100,-0.046503,,,,,,,,,,0.000439,
2014-11-03,neutral,0,0,0.008970,-0.051341,,,,,,,,,,0.005100,
2014-11-04,neutral,0,0,0.027214,-0.149504,,,,,,,,,,0.008970,
2014-11-05,neutral,0,1,0.008628,-0.221779,,,,,,,,,,0.027214,
2014-11-06,neutral,0,1,-0.019683,-0.243623,,,,,,,,,,0.028879,
2014-11-07,neutral,0,1,0.008974,-0.228436,,,,,,,,,,-0.019683,
2014-11-08,neutral,0,1,0.015514,-0.235299,,,,,,,,,,0.008974,
2014-11-09,neutral,0,1,-0.034179,-0.272719,,,,,,,,,,0.051452,
2014-11-10,neutral,0,1,-0.056031,-0.279974,,,,,,,,,,0.010075,
2014-11-11,neutral,0,1,-0.058010,-0.281483,,,,,,,,,,0.002101,
2014-11-12,neutral,0,1,-0.182255,-0.376253,,,,,,,,,,0.151936,
2014-11-13,neutral,0,1,-0.176762,-0.372063,,,,,,,,,,-0.006672,
2014-11-14,neutral,0,1,-0.129338,-0.432250,,,,,,,,,,-0.054469,
2014-11-15,neutral,0,1,-0.081854,-0.526489,,,,,,,,,,-0.054510,
2014-11-16,neutral,0,1,-0.156800,-0.540832,,,,,,,,,,0.031236,
2014-11-17,neutral,0,1,-0.174576,-0.540270,,,,,,,,,,-0.001222,
2014-11-18,neutral,0,1,-0.170049,-0.525309,,,,,,,,,,-0.031517,
2014-11-19,neutral,0,1,-0.181732,-0.531991,,,,,,,,,,0.014278,
2014-11-20,neutral,0,1,-0.129790,-0.502283,,,,,,,,,,-0.059689,
2014-11-21,neutral,0,1,-0.112448,-0.492364,,,,,,,,,,-0.019539,
2014-11-22,neutral,0,1,-0.117658,-0.495345,,,,,,,,,,0.005906,
2014-11-23,neutral,0,1,-0.152832,-0.515462,,,,,,,,,,0.041519,
2014-11-24,neutral,0,1,-0.173799,-0.527454,,,,,,,,,,0.025377,
2014-11-25,neutral,0,1,-0.170381,-0.525499,,,,,,,,,,-0.004120,
